date,pnl_1,pnl_2,pnl_3,pnl_4,pnl_5,yearly_pnl,cumulative_pnl,year
2018-08-06,0.0,0.0,-10373.699999999417,-1000.0,-0.0,-11373.699999999417,3806257.950000001,2018
2018-08-07,-0.0,0.0,0.0,3731.949999999836,0.0,3731.949999999836,3809989.900000001,2018
2018-08-08,0.0,0.0,0.0,285.1000000001204,-0.0,285.1000000001204,3810275.000000001,2018
2018-08-09,0.0,0.0,0.0,53244.99999999998,0.0,53244.99999999998,3863520.000000001,2018
2018-08-10,0.0,0.0,0.0,0.0,-0.0,0.0,3863520.000000001,2018
2018-08-13,0.0,0.0,0.0,0.0,0.0,0.0,3863520.000000001,2018
2018-08-14,0.0,-0.0,-0.0,-0.0,-0.0,0.0,3863520.000000001,2018
2018-08-16,0.0,0.0,0.0,0.0,0.0,0.0,3863520.000000001,2018
2018-08-17,-0.0,-0.0,-0.0,-0.0,-1000.0,-1000.0,3862520.000000001,2018
2018-08-20,0.0,0.0,0.0,-0.0,239316.89999999912,239316.89999999912,4101836.9,2018
2018-08-21,-0.0,0.0,0.0,0.0,35310.249999999956,35310.249999999956,4137147.15,2018
2018-08-23,0.0,0.0,0.0,0.0,85884.90000000063,85884.90000000063,4223032.050000001,2018
2018-08-24,-0.0,-0.0,-0.0,0.0,96448.39999999997,96448.39999999997,4319480.450000001,2018
2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,4319480.450000001,2018
2018-08-28,0.0,0.0,0.0,-0.0,0.0,0.0,4319480.450000001,2018
2018-08-29,-0.0,-0.0,0.0,-0.0,0.0,0.0,4319480.450000001,2018
2018-08-30,0.0,0.0,-0.0,0.0,-0.0,0.0,4319480.450000001,2018
2018-08-31,0.0,0.0,0.0,0.0,-0.0,0.0,4319480.450000001,2018
2018-09-03,0.0,0.0,0.0,0.0,0.0,0.0,4319480.450000001,2018
2018-09-04,0.0,0.0,0.0,0.0,0.0,0.0,4319480.450000001,2018
2018-09-05,-0.0,-0.0,0.0,-0.0,0.0,0.0,4319480.450000001,2018
2018-09-06,0.0,0.0,0.0,0.0,0.0,0.0,4319480.450000001,2018
2018-09-07,0.0,0.0,-1000.0,0.0,0.0,-1000.0,4318480.450000001,2018
2018-09-10,0.0,-1000.0,41440.50000000017,0.0,0.0,40440.50000000017,4358920.950000001,2018
2018-09-11,0.0,15587.65000000003,-43568.99999999988,0.0,0.0,-27981.349999999853,4330939.6000000015,2018
2018-09-12,-0.0,-34603.04999999992,-17030.64999999981,0.0,0.0,-51633.699999999735,4279305.900000001,2018
2018-09-14,0.0,138992.69999999975,83177.39999999985,0.0,0.0,222170.0999999996,4501476.000000001,2018
2018-09-17,-0.0,35344.949999999815,52793.39999999988,0.0,0.0,88138.34999999969,4589614.350000001,2018
2018-09-18,-0.0,-72806.99999999984,0.0,0.0,0.0,-72806.99999999984,4516807.350000001,2018
2018-09-19,-0.0,32131.69999999982,-1000.0,-0.0,0.0,31131.69999999982,4547939.050000001,2018
2018-09-21,0.0,113175.40000000036,-6380.049999999871,0.0,-0.0,106795.35000000049,4654734.400000001,2018
2018-09-24,0.0,0.0,-10719.400000000129,0.0,-0.0,-10719.400000000129,4644015.000000001,2018
2018-09-25,0.0,0.0,14652.59999999958,0.0,0.0,14652.59999999958,4658667.600000001,2018
2018-09-26,0.0,0.0,-3820.3999999999614,0.0,0.0,-3820.3999999999614,4654847.2,2018
2018-09-27,0.0,0.0,-34875.84999999965,0.0,0.0,-34875.84999999965,4619971.350000001,2018
2018-09-28,-1000.0,-0.0,-26275.749999999898,0.0,-0.0,-27275.749999999898,4592695.600000001,2018
2018-10-01,-25197.250000000015,-0.0,0.0,-0.0,-0.0,-25197.250000000015,4567498.350000001,2018
2018-10-03,-12898.699999999917,-1000.0,0.0,0.0,-1000.0,-14898.699999999917,4552599.65,2018
2018-10-04,-21575.400000000118,406101.5499999998,-0.0,0.0,324479.3999999994,709005.5499999991,5261605.199999999,2018
2018-10-05,-20977.5499999999,0.0,0.0,-1000.0,950223.6499999997,928246.0999999997,6189851.299999999,2018
2018-10-08,-10638.000000000056,-0.0,0.0,359.49999999994,-0.0,-10278.500000000116,6179572.799999999,2018
2018-10-09,-12224.800000000088,0.0,0.0,65160.899999999936,0.0,52936.099999999846,6232508.8999999985,2018
2018-10-10,17556.20000000002,0.0,0.0,5547.599999999977,0.0,23103.799999999996,6255612.699999998,2018
2018-10-11,-18240.19999999988,-0.0,-1000.0,-12881.199999999808,-0.0,-32121.39999999969,6223491.299999999,2018
2018-10-12,8255.69999999991,0.0,-22663.450000000194,13563.599999999835,0.0,-844.1500000004489,6222647.1499999985,2018
2018-10-15,2343.6000000000067,0.0,-68271.20000000006,1552.8000000000598,0.0,-64374.79999999999,6158272.349999999,2018
2018-10-16,6358.550000000102,0.0,34864.999999999935,4656.00000000008,-1000.0,44879.55000000012,6203151.8999999985,2018
2018-10-17,-7572.250000000147,0.0,35754.69999999989,2039.2999999999047,116398.45000000007,146620.19999999972,6349772.099999998,2018
2018-10-19,-755.149999999916,-0.0,57922.800000000316,14836.05000000004,60500.000000000124,132503.70000000056,6482275.799999998,2018
2018-10-22,3199.8499999999567,0.0,74880.15000000007,9461.899999999956,169266.70000000007,256808.60000000003,6739084.399999998,2018
2018-10-23,15190.99999999992,0.0,129544.99999999955,917.6499999998972,-12778.200000000747,132875.44999999864,6871959.849999996,2018
2018-10-24,0.0,0.0,18340.800000000163,103752.20000000013,-122681.39999999986,-588.3999999995722,6871371.449999996,2018
2018-10-25,0.0,-0.0,31054.950000000194,0.0,72659.00000000033,103713.95000000054,6975085.399999997,2018
2018-10-26,0.0,0.0,131409.0,0.0,121657.79999999919,253066.79999999917,7228152.1999999955,2018
2018-10-29,-0.0,-0.0,-99638.40000000029,-0.0,-107220.19999999966,-206858.59999999995,7021293.599999996,2018
2018-10-30,-0.0,0.0,-147273.49999999965,-0.0,113514.30000000066,-33759.19999999899,6987534.399999997,2018
2018-10-31,-0.0,-0.0,-81040.75000000045,-0.0,22562.699999999553,-58478.0500000009,6929056.349999996,2018
2018-11-01,0.0,0.0,60120.50000000016,0.0,-29825.599999999973,30294.900000000187,6959351.249999996,2018
2018-11-02,0.0,0.0,100258.04999999984,0.0,-133216.49999999977,-32958.449999999924,6926392.799999996,2018
2018-11-05,0.0,0.0,0.0,0.0,109711.2000000003,109711.2000000003,7036103.999999996,2018
2018-11-06,0.0,0.0,0.0,0.0,-50657.20000000107,-50657.20000000107,6985446.799999995,2018
2018-11-07,0.0,0.0,0.0,0.0,0.0,0.0,6985446.799999995,2018
2018-11-09,-0.0,-0.0,0.0,-0.0,4796.800000000216,4796.800000000216,6990243.599999995,2018
2018-11-12,0.0,0.0,0.0,0.0,6837.6499999997795,6837.6499999997795,6997081.249999994,2018
2018-11-13,0.0,0.0,0.0,0.0,-1515.9999999995343,-1515.9999999995343,6995565.249999994,2018
